,회사명,채용공고 제목,채용공고 세부 사항,기술 세부 사항,링크
36,(주)모빅랩,AI 연구원(병특) AI Researcher 모집,"서울 서초구,신입경력정규직 외,석사↑","딥러닝,머신러닝,AI(인공지능),Keras,Matlab",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47953133
37,(주)크래프톤,[Global Strategy & BD Div.] AI Strategy Team Member (2년~),"서울 강남구,경력 2년↑정규직,학력무관","딥러닝,머신러닝,AI(인공지능),사업기획,전략기획",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47953172
38,(주)두원전자통신,2024년 상반기 각 분야별 경력사원 모집,"경기 부천시 외,경력정규직,학력무관","기술지원,데이터분석가,데이터엔지니어,백엔드/서버개발,앱개발",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47825886&adsCategoryItem=effect_bold&
39,(주)스펙터,데이터 분석가(사이언티스트) 채용,"서울 강남구,2 ~ 10년정규직,대학(2,3년)↑","데이터분석가,데이터엔지니어,데이터라벨링,데이터마이닝,데이터시각화",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47967572
40,(주)클라리파이,[클라리파이] 기업부설연구소 AI팀 인턴 채용,"서울 종로구,경력무관정규직 외,대학교(4년)↑","SI개발,딥러닝,머신러닝,빅데이터,솔루션",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47966681
41,(주)클라비,기술연구소 개발 경력직,"서울 송파구,10 ~ 15년정규직,학력무관","데이터분석가,데이터엔지니어,백엔드/서버개발,웹개발,프론트엔드",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47852123
42,시그마케이 주식회사,시그마케이 주식회사 딥러닝 개발자 채용,"서울 노원구,경력무관정규직,대학교(4년)↑","딥러닝,머신러닝,알고리즘,Pytorch,Tensorflow",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47966571
43,(주)와따,[WATA Inc] 비젼 알고리즘 개발 연구원,"경기전체 외,3 ~ 13년정규직,대학교(4년)↑","데이터분석가,딥러닝,머신러닝,블록체인,빅데이터",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47842348
44,(주)데이터트리,[신입/경력] 빅데이터/AI 컨설턴트 모집,"서울 금천구,신입경력정규직,대학교(4년)↑","머신러닝,빅데이터,알고리즘,AI(인공지능),Keras",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47964795
45,(주)엑셈,"[코스닥상장사] 엑셈 데이터 사이언티스트 (경력 5년이상, 과장급)","서울전체 외,5 ~ 10년정규직,학력무관","데이터분석가,데이터엔지니어,SE(시스템엔지니어),데이터마이닝,데이터시각화",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=45341375
46,(주)디알텍,2024년 신입 및 경력 채용,"경기 성남시 분당구 외,신입경력정규직 외,고졸↑","유지보수,퍼블리셔,SE(시스템엔지니어),머신러닝,영상처리",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47887087
47,에스디바이오센서(주),에스디바이오센서(주) 빅데이터/전기화학센서 개발자 모집,"경기 수원시 영통구,신입경력정규직,대학교(4년)↑","S/W,의료기기연구,제약/바이오,딥러닝,머신러닝",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47961674
48,㈜그린텍아이엔씨,AI 개발자 모집,"경기 안양시 동안구,경력 3년↑정규직,학력무관","딥러닝,머신러닝,솔루션,알고리즘,AI(인공지능)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47953967
49,(주)유라,"(주)유라(구매,영업, IT, 제조, 품질) 수시모집","경기 성남시 분당구 외,경력무관정규직,대학(2,3년)↑","솔루션,.NET,기술영업,영업관리,솔루션기술영업",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47958599
50,(주)에스에프에이,SFA 2024년 2차 공개채용 (4월28일 접수마감),"경기 화성시,경력무관정규직,대학교(4년)↑","데이터분석가,머신러닝,영상처리,컴퓨터비전,펌웨어",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47954018
