,회사명,채용공고 제목,채용공고 세부 사항,기술 세부 사항,링크
20,㈜이글루코퍼레이션,인공지능/머신러닝 솔루션 엔진 개발(5년이상),"경력5년↑,초대졸↑,서울 송파구,정규직","인공지능, 정보보안",https://www.jobkorea.co.kr/Recruit/Co_Read/C/34743811
21,슈어소프트테크㈜,AI기술팀 LLM 연구 개발,"경력2년↑,대졸↑,경기 성남시,정규직","소프트웨어개발, 솔루션",https://www.jobkorea.co.kr/Recruit/Co_Read/C/93629
22,(주)우아한형제들,각 부문별 경력/신입 인재영입,"신입·경력,학력무관,서울 송파구,정규직 외","빅데이터, 데이터관리, 웹표준·웹접근성, 거래처관리, IMC, 행정, UI·UX기획, 검증, 식품MD, SI개발, 영사기사, 영업기획, PL, 웹마스터, 딥러닝, 브랜딩, 시스템운영, 제안·컨설팅, PM, 서버관리, 인공지능, UI·UX디자인, 가맹점관리, 기술영업, 리테일MD, 시스템운영, 정보보안, SI개발, 모바일App, 사업기획, 서버구축, 시스템분석, 모바일디자인, 앱기획, SI개발, 네트워크관리, 가맹영업, 영상제작, SI개발, 매출관리, 시스템설계, 증강현실, 데이터분석, 면접·채용, 인터페이스, 전략기획, 솔루션스아키텍트, 네트워크관리, 자재구매, 전략기획, 모델링, 데이터마이닝, 클라우드개발자, 아키텍처, 인사행정, 챗봇, 클라이언트, 납품영업, 서버구축, PO, UI·UX기획, 서비스기획, 서버관리, 클라우드아키텍트, 검증, 고객관리, 자연어처리(NLP), 국내영업, 데이터분석",https://www.jobkorea.co.kr/Recruit/Co_Read/C/19021
23,슈프리마,[슈프리마] BioSign 알고리즘 개발자,"경력1년↑,석사↑,경기 성남시,정규직","빅데이터, 딥러닝, 인공지능",https://www.jobkorea.co.kr/Recruit/Co_Read/C/33713380
24,㈜샌즈랩,"기술개발연구소 AI기술개발팀 선임,책임급","경력1년↑,석사↑,경기 과천시 외,정규직","백신프로그램, 음성인식, 딥러닝, 보안소프트웨어, 인공지능, 보안ASP, 모델링, 보안컨설팅, 자연어처리(NLP), 정보보안",https://www.jobkorea.co.kr/Recruit/Co_Read/C/34436426
25,㈜폴라리스쓰리디,SLAM 엔지니어(포항)전문연구 지원가능,"경력2년↑,석사↑,경북 포항시,정규직","모델링, 딥러닝, 자연어처리(NLP), 이미지프로세싱, 인공지능",https://www.jobkorea.co.kr/Recruit/Co_Read/C/27811453
26,비솔,영상분야 AI개발(가산 근무),"경력5년↑,학력무관,서울 금천구,정규직","전기설계, 딥러닝, 인공지능, 하드웨어, 이미지프로세싱, PLC, SMPS, 펌웨어, 모델링, 전기, 유지보수",https://www.jobkorea.co.kr/Recruit/Co_Read/C/213255
27,로민,멀티모달(컴퓨터비전/자연어처리) 엔지니어,"경력5년↑,대졸↑,서울 서초구,정규직","솔루션, 모델링, 딥러닝, 자연어처리(NLP)",https://www.jobkorea.co.kr/Recruit/Co_Read/C/34673566
28,㈜크레스콤,인공지능 소프트웨어 개발 채용,"경력1년↑,초대졸↑,경기 성남시,정규직 외",소프트웨어개발,https://www.jobkorea.co.kr/Recruit/Co_Read/C/22079839
29,㈜아이스크림아트,AI기반연구팀 AI연구원 경력직 채용,"경력2년↑,대졸↑,서울 강남구,정규직","디자인학원, 미술, 보습학원, 예체능학원, 유아교육",https://www.jobkorea.co.kr/Recruit/Co_Read/C/33685064
30,블루닷㈜,코덱 SW 엔지니어,"경력6년↑,대졸↑,서울 강남구,정규직","ASIC, SoC, IC설계",https://www.jobkorea.co.kr/Recruit/Co_Read/C/29363972
31,블루닷㈜,딥러닝 개발자,"경력6년↑,대졸↑,서울 강남구,정규직","ASIC, SoC, IC설계",https://www.jobkorea.co.kr/Recruit/Co_Read/C/29363972
32,블루닷㈜,코덱 SW 엔지니어 (신입),"신입,대졸↑,서울 강남구,정규직","ASIC, SoC, IC설계",https://www.jobkorea.co.kr/Recruit/Co_Read/C/29363972
33,딥브레인 AI,머신러닝/딥러닝 엔지니어(전문연구요원 가능),"경력,석사↑,서울 강남구,정규직","솔루션, 딥러닝, 모델링, 소프트웨어개발",https://www.jobkorea.co.kr/Recruit/Co_Read/C/18673403
34,블루닷㈜,딥러닝 알고리즘 엔지니어(신입),"신입,대졸↑,서울 강남구,정규직","ASIC, SoC, IC설계",https://www.jobkorea.co.kr/Recruit/Co_Read/C/29363972
35,웨이센,AI Research Engineer 시니어,"경력5년↑,대졸↑,서울 강남구,정규직","소프트웨어개발, 솔루션, BigData",https://www.jobkorea.co.kr/Recruit/Co_Read/C/33974343
36,㈜스트라드비젼,Algorithm Engineer.Camera,"경력3년↑,석사↑,서울 서초구,정규직",소프트웨어개발,https://www.jobkorea.co.kr/Recruit/Co_Read/C/17223942
37,웨이센,AI Research Engineer 주니어,"경력2년↑,대졸↑,서울 강남구,정규직","소프트웨어개발, 솔루션, BigData",https://www.jobkorea.co.kr/Recruit/Co_Read/C/33974343
38,㈜알에스엔,[신입/경력] MLOps/DevOps Enginner & AI Developer,"신입·경력,학력무관,경기 고양시,정규직","BigData, Linux OS, 솔루션, Python, MLOps, DevOps, Go, 자연어처리(NLP)",https://www.jobkorea.co.kr/Recruit/Co_Read/C/156890
39,한국ICT인재개발원,[국비무료IT취업교육]JAVA웹앱/프론트엔드/백엔드/풀스택/빅데이터/인공지능 외 자바개발자취업교육과정/준비된 인재로 취업하기/SW융복합 인재양성 /수료전부터 취업연계매칭시스템,"신입·경력,고졸↑,서울,연수생/교육생","Java, 디버깅, 백엔드, 아키텍처 설계, 자바, 프론트엔드, AWS, AI, 기능학원, e러닝, IT학원, BPM, ERP, IFRS, IT컨설팅, KMS, Oracle, SAP, SCM, Sybase, 서버관리, 클라이언트, 핀테크, HTTP, SI개발, 반응형웹, 인터페이스, 증강현실, 가상현실, 암호화폐, 음성인식, 인터페이스, 챗봇, 핀테크, SI개발, 메타버스, 클라이언트, SI개발, 모델링, 딥러닝, 자연어처리(NLP), 음성인식, 이미지프로세싱, 인공지능, 챗봇, 웹마스터, GUI, 반응형웹, 웹표준·웹접근성",https://www.jobkorea.co.kr/Recruit/Co_Read/C/23221213
