,회사명,채용공고 제목,채용공고 세부 사항,기술 세부 사항,링크
717,㈜선영종합엔지니어링,기술연구소 (디지털트윈/R&D/공간정보/DB구축) 신입·경력 채용,",경력무관,학력무관,정규직","R&D,연구원,토지·측량",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47560985&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=ee0678eb-edff-47cf-abe0-5f31bee01c9a
718,(주)트윔,[면접비 지급] 머신비전 사업팀 팀장급 채용,",경력10년↑,초대졸↑,정규직","딥러닝,광학/렌즈,SpringBoot,H/W,Java",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47931263&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=ee0678eb-edff-47cf-abe0-5f31bee01c9a
719,(주)아이코어,머신비전 하드웨어 개발자,",신입·경력,대졸↑,정규직","임베디드리눅스,회로설계,H/W,디스플레이,임베디드",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45692330&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=ee0678eb-edff-47cf-abe0-5f31bee01c9a
720,행복쇼핑(주),[재택근무] REACT · PHP · PYTHON 개발자 채용,",경력3년↑,초대졸↑,정규직","딥러닝,풀스택,ETL,SQL,Python",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47888867&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=5f70ab55-d514-4fa7-a06b-e250379bd5d5
721,(주)에이아이네이션,인공지능 솔루션 마케팅 경력 사원 모집,",경력무관,학력무관,정규직","디지털마케팅,마케팅전략,기업홍보,마케팅기획,마케팅",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47929813&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=5f70ab55-d514-4fa7-a06b-e250379bd5d5
722,국립암센터,국립암센터 인공지능사업팀 의료영상분석 과제연구원(학사 이상),",경력무관,석사↑,계약직","딥러닝,컴퓨터비전,영상처리,빅데이터,R&D",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47874255&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=5f70ab55-d514-4fa7-a06b-e250379bd5d5
723,유진투자선물(주),"유진투자선물 IT개발/운영, 선물영업 신입/경력사원 채용",",신입·경력,대졸↑,정규직·계약직","딥러닝,웹마스터,유지보수,PostgreSQL,Pro-C",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47888735&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=5f70ab55-d514-4fa7-a06b-e250379bd5d5
724,(주)엘솔루,엘솔루 서비스기획 담당자,",경력 3~5년,학력무관,정규직","서비스기획,웹디자인,기획,스토리보드,UI/UX",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47778685&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=5f70ab55-d514-4fa7-a06b-e250379bd5d5
725,라온피플(주),[2차전지] 비전검사 엔지니어 모집,",경력3년↑,학력무관,정규직","딥러닝,광학/렌즈,생산,H/W,컴퓨터비전",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47848799&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=5f70ab55-d514-4fa7-a06b-e250379bd5d5
726,스트라드비젼(STRADVISION),[STRADVISION] Vehicle Data Collector (KOREA),",경력무관,학력무관,계약직","운전,운송·운수",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47815784&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=5f70ab55-d514-4fa7-a06b-e250379bd5d5
727,포인드(주),포인드(주) IT 기술영업 경력직 채용공고,",경력,초대졸↑,정규직","영업,기술영업,솔루션기술영업,소프트웨어개발",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47878733&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=5f70ab55-d514-4fa7-a06b-e250379bd5d5
728,포인드(주),포인드(주) IT 기술영업 신입 채용공고,",신입,초대졸↑,정규직","영업,기술영업,솔루션기술영업,소프트웨어개발",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47878739&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=5f70ab55-d514-4fa7-a06b-e250379bd5d5
729,씨드로닉스(주),PCB 및 펌웨어 설계 (3년 이상),",경력 3~15년,대졸↑,정규직","딥러닝,인터페이스,Python,H/W,임베디드리눅스",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47642167&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=5f70ab55-d514-4fa7-a06b-e250379bd5d5
730,(주)알지에이아이엔씨,Robot Perception Engineer,",경력무관,대졸↑,정규직","딥러닝,AI(인공지능),Pytorch,신경망,Keras",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47756464&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=5f70ab55-d514-4fa7-a06b-e250379bd5d5
731,(주)넥슨코리아,[인텔리전스랩스] 개인화 콘텐츠 및 서비스 기획자,",경력3년↑,학력무관,정규직","서비스기획,기획,콘텐츠기획,마케팅,웹기획",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47871898&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=5f70ab55-d514-4fa7-a06b-e250379bd5d5
732,한미반도체㈜,[한미반도체] 소프트웨어연구본부(신입/경력) 채용,",신입·경력,대졸↑,정규직","딥러닝,정보통신,H/W,MFC,ASP",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47913031&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=5f70ab55-d514-4fa7-a06b-e250379bd5d5
733,(주)업스테이지,Technical Product Manager,",경력 5~15년,학력무관,정규직","딥러닝,AI(인공지능),OCR,챗봇,API",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46907216&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=5f70ab55-d514-4fa7-a06b-e250379bd5d5
734,(주)바심,(주)바심 머신비젼 엔지니어 모집 공고 (경력사원),",경력2년↑,초대졸↑,정규직","딥러닝,알고리즘,S/W,C#,C++",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47838480&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=5f70ab55-d514-4fa7-a06b-e250379bd5d5
735,숭실대학교산학협력단,숭실대 지역지능화혁신인재양성사업-서초구 기업체 인턴 모집,",경력무관,초대졸↑,인턴직","딥러닝,Git,Java,클라우드,블록체인",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47884152&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=5f70ab55-d514-4fa7-a06b-e250379bd5d5
736,주식회사 체인위드,[파트타임] 블록체인 지갑 및 AI 플랫폼 백엔드,",신입·경력,학력무관,정규직","딥러닝,알고리즘,유지보수,음성인식,Java",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46180109&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=5f70ab55-d514-4fa7-a06b-e250379bd5d5
737,한국딥러닝(주),[한국딥러닝] PR 담당자,",경력 2~6년,대졸↑,정규직","기업홍보,마케팅,그로스해킹,광고캠페인,홍보",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47815998&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=5f70ab55-d514-4fa7-a06b-e250379bd5d5
738,(주)메디픽셀,Research Scientist,",경력 3~10년,석사↑,정규직","딥러닝,AI(인공지능),Python,Pytorch,모델링",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45077136&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=5f70ab55-d514-4fa7-a06b-e250379bd5d5
739,쿠팡(주),"Staff, Back-end Engineer [Data & Accounting]",",경력 10~20년,대졸↑,정규직","딥러닝,Spring,SpringBoot,SQL,ETL",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47207672&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=5f70ab55-d514-4fa7-a06b-e250379bd5d5
740,(주)날개물류,[파주] 백엔드 개발자,",경력 1~15년,학력무관,정규직","딥러닝,아키텍쳐,Spring,SpringBoot,SQL",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47324293&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=5f70ab55-d514-4fa7-a06b-e250379bd5d5
741,(주)메디씽큐,2024년 ㈜메디씽큐 각 부문 신입 및 경력 채용,",신입·경력,초대졸↑,정규직","딥러닝,유지보수,Android,ASP,단순생산직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47932358&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=5f70ab55-d514-4fa7-a06b-e250379bd5d5
742,(주)스파크엑스,AI 교육 퍼실리테이터(교육 보조) 모집 (계약직),",경력무관,대졸↑,기간제·계약직,3,400 만원","딥러닝,모델링,데이터라벨링,데이터마이닝,데이터시각화",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47863661&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=5f70ab55-d514-4fa7-a06b-e250379bd5d5
743,(주)엠에이치엔씨티,[신입/경력] 국책과제 연구원을 모집합니다.,",경력무관,대졸↑,정규직","알고리즘,Tensorflow,머신러닝,AI(인공지능),Python",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47762502&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=5f70ab55-d514-4fa7-a06b-e250379bd5d5
744,주식회사 대륜,(주)대륜 개발팀 각 부문별 채용 (서울),",경력무관,대졸↑,정규직","딥러닝,풀스택,Spring,Python,Pytorch",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47610344&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=5f70ab55-d514-4fa7-a06b-e250379bd5d5
745,(주)휴런,Artificial Intelligence Researcher 채용,",경력 5~20년,박사,정규직","딥러닝,AI(인공지능),Python,Pytorch,Keras",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47497835&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=5f70ab55-d514-4fa7-a06b-e250379bd5d5
